Company Name,Application Status,Role,Salary,Date Submitted,Link to Job Req,Rejection Reason,Notes
"American Express (New York, New york)",Submitted - Pending Response,Software Engineer Intern,$24.05 to $63.00 hourly + sign-on bonus,,https://aexp.eightfold.ai/careers/job/30702556?hl=en&utm_source=github-vansh-ouckah,N/A,
"American Express (Phoenix, Arizona)",N/A,Software Engineer Intern,$24.05 to $63.00 hourly + sign-on bonus,,https://aexp.eightfold.ai/careers/job/30702550?hl=en&utm_source=github-vansh-ouckah,,
Notion (SF/NY),Submitted - Pending Response,Software Engineer Intern,$57/hr,,https://jobs.ashbyhq.com/notion/23ac2477-0008-4bed-b1c1-81f90a32e9e6?utm_source=github-vansh-ouckah,N/A,
"Roblox (San Mateo, CA)",OA,Software Enginner Intern,$62/hr,,https://careers.roblox.com/jobs/7114765?utm_source=github-vansh-ouckah,N/A,
Ramp (NY),Rejected,Software Engineer Internship | Backend,"$11,000 +  housing stipend per month",,https://jobs.ashbyhq.com/ramp/c50962b5-c641-4d44-bbe5-7f1d6e7ce51f?utm_source=github-vansh-ouckah,N/A,
Ramp (NY),N/A,Software Engineer Internship | Frontend,"$11,000 USD + housing stipend per month",,https://jobs.ashbyhq.com/ramp/31f7e045-9a51-4a75-9ffc-d815d6db6daa?utm_source=github-vansh-ouckah,N/A,
"JPMorgan (Austin, TX, United States
 Chicago, IL, United States
 Columbus, OH, United States
 Houston, TX, United States
 Jersey City, NJ, United States
 New York, NY, United States
 Palo Alto, CA, United States
 Plano, TX, United States
 Tampa, FL, United States
 Wilmington, DE, United States)
",OA,2026 Software Engineer Program - Summer Internship,"
Chicago, IL $45.67-$45.67; Jersey City, NJ $52.88-$52.88; New York, NY $52.88-$52.88; Palo Alto, CA $60.10-$60.10",,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210650080?utm_source=github-vansh-ouckah,N/A,
Jane Street (NY),Rejected,"Software Engineer Internship, May-August","Base salary is $300,000. = ~122/hr",,https://www.janestreet.com/join-jane-street/position/8040547002/?utm_source=github-vansh-ouckah,N/A,
Palantir (NY),Rejected,"Software Engineer, Internship","$10,500/month.",,https://jobs.lever.co/palantir/7d69cf8a-06fd-4f05-bd84-27149db29c4d?utm_source=github-vansh-ouckah,N/A,
Palantir (DC),N/A,"Software Engineer, internship","$10,500/month.",,https://jobs.lever.co/palantir/bdcfb29f-4f27-42de-933f-7f83a359b9f0?utm_source=github-vansh-ouckah,N/A,
Apple,Submitted - Pending Response,Software Engineer Internship,,,https://jobs.apple.com/en-us/details/200606145/software-engineering-internships?team=STDNT&utm_source=github-vansh-ouckah,N/A,"
This posting is not for a specific job opening and by submitting your resume you are expressing interest in being contacted about this type of role at Apple in the future."
"Draftkings (Boston, MA)",Submitted - Pending Response,Software Engineer Internship,"$36 - $45, plus bonus",,https://draftkings.wd1.myworkdayjobs.com/Campus_Career_Portal/job/Boston-MA/Software-Engineer-Intern--Summer-2026-_JR12655?utm_source=github-vansh-ouckah,N/A,
Figma (SF/NY),N/A,Software Engineer Intern,$51.06 - $51.06 USD,,https://job-boards.greenhouse.io/figma/jobs/5602159004?utm_source=github-vansh-ouckah,N/A,
"Adobe (San Jose California, Austin Texas, San Francisco California, Lehi Utah, Seattle Washington, New York New York",Submitted - Pending Response,Software Engineer Intern,$38.00 -- $51.00,,https://careers.adobe.com/us/en/job/R158531/2026-Intern-Software-Engineer?utm_source=github-vansh-ouckah,N/A,
Google ,Submitted - Pending Response,"Software Engineering Intern, BS, Summer 2026
",,8/27/2025,https://www.google.com/about/careers/applications/jobs/results/75808725415142086-software-engineering-intern-bs-summer-2026?utm_source=github-vansh-ouckah,N/A,
IBM,Rejected,Software Engineer intern,"Projected Minimum Salary per year
75,000.00
Projected Maximum Salary per year
139,000.00",,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=54845&utm_source=github-vansh-ouckah,N/A,
"Amazon (Seattle, WA)",Submitted - Pending Response,Software Engineer Frontend,$47.84/hr - $100.48/hr,9/9/2025,https://www.amazon.jobs/en/jobs/3066439/front-end-engineer-internship-2026-us?utm_source=github-vansh-ouckah,N/A,
"Microsoft (Redmond, WA)",N/A,Software Engineer: Fullstack Intern,USD $5610.00 - $11010.00 per month,,https://jobs.careers.microsoft.com/global/en/job/1860960/Software-Engineer%3A-Fullstack-Intern-Opportunities-for-University-Students%2C-Redmond?amp;utm_campaign=Copy-job-share,N/A,
"Microsoft (Redmond, WA)",N/A,Software Engineer: Frontend Intern,USD $5610.00 - $11010.00 per month,,https://jobs.careers.microsoft.com/global/en/job/1861019/Software-Engineer%3A-Frontend-Intern-Opportunities-for-University-Students%2C-Redmond?amp;utm_campaign=Copy-job-share,N/A,
"Microsoft (Atlanta, GA)",N/A,Software Engineer: Fullstack Intern,USD $5610.00 - $11010.00 ,,https://jobs.careers.microsoft.com/global/en/job/1861022/Software-Engineer%3A-Fullstack-Intern-Opportunities-for-University-Students%2C-Atlanta,N/A,
"NVIDIA (Santa Clara, CA)       ",Submitted - Pending Response,Software Engineer Intern,20 USD - 71 USD.,9/7/2025,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2026-Internships--Software-Engineering-_JR2003206?utm_source=github-vansh-ouckah,N/A,
Vercel,Submitted - Pending Response,Engineering Summer Intern,"$9,500 to $11,000 per month",9/9/2025,https://job-boards.greenhouse.io/vercel/jobs/5628292004?utm_source=github-vansh-ouckah,N/A,
